Matrix,Group,Distribution,AIC,Parameters
S,Day_1,poisson,129.60452035040163,"(39.285714285714285,)"
S,Day_1,norm,130.38534684437337,"(39.43065284263206, 4.904908270706721)"
,,,,
S,Day_1,Results for Stop 3,,
S,Day_1,gamma,75.20222877528805,"(0.250059724566439, 35.368221358024776, 18.61212340882941)"
S,Day_1,weibull_min,86.23223381254896,"(0.709390968455983, 35.368221358024776, 3.631462496048419)"
S,Day_1,lognorm,94.34768374097584,"(0.86401817445777, 35.10595681390518, 2.295042194693452)"
S,Day_1,beta,96.71009675863452,"(0.7708414547541388, 607.5597214813143, 35.368221358024776, 2131.930262465374)"
S,Day_1,expon,104.12556763199714,"(35.36822135802478, 3.9906019591449606)"
S,Day_1,poisson,152.57558586479655,"(39.19047619047619,)"
S,Day_1,norm,156.50393246094816,"(39.358823317169744, 9.134947820483795)"
,,,,
S,Day_1,Results for Stop 10,,
S,Day_1,gamma,149.389707646797,"(0.755858277313918, 25.172368616745096, 13.58832513181681)"
S,Day_1,lognorm,150.90073169856745,"(0.43831440520514964, 19.826201620674325, 17.390035240008764)"
S,Day_1,beta,156.19533077168472,"(2.9517766744651475, 23261361515.454216, 23.288934648788285, 126224299737.04193)"
S,Day_1,expon,157.23786777648047,"(25.1723686167451, 14.133115508898168)"
S,Day_1,norm,169.7589076025492,"(39.30548412564327, 12.524692853541174)"
S,Day_1,poisson,182.07638194809547,"(39.19047619047619,)"
S,Day_1,weibull_min,inf,"(0.7600451067571088, 33.55901255888691, 5.924963635696032)"
,,,,
S,Day_1,Results for Stop 17,,
S,Day_1,beta,92.01687389865205,"(0.170195404295036, 0.7919733732645691, 34.5613705424174, 20.832959044381354)"
S,Day_1,expon,110.93181021553156,"(34.56137054241741, 4.69264073883685)"
S,Day_1,lognorm,111.71724540389613,"(0.7214559176214534, 33.79871732323062, 4.156304410307952)"
S,Day_1,gamma,112.92110933729823,"(1.2456694155457884, 34.495833017414924, 3.8197839367417252)"
S,Day_1,weibull_min,112.95660764360062,"(1.0502942498320649, 34.5491417189602, 4.794983603968904)"
S,Day_1,norm,127.39468190301658,"(39.25401128125426, 4.5677926685760335)"
S,Day_1,poisson,127.96519692093877,"(39.095238095238095,)"
,,,,
S,Day_1,Results for Stop 15,,
S,Day_1,norm,162.62428937202472,"(39.04750403721336, 10.56799676774937)"
S,Day_1,lognorm,164.6578827355776,"(0.003776013673649471, -2760.8041697915496, 2799.8047705493227)"
S,Day_1,gamma,165.0413538645229,"(355.82035143376464, -165.10323699211284, 0.5735581757416993)"
S,Day_1,weibull_min,165.26387630609696,"(5.562290098932245, -14.783243620989452, 57.99717625423584)"
S,Day_1,beta,166.407720386033,"(1377.691463330369, 115.30319550952024, -1368.7775235061326, 1525.6498679696115)"
S,Day_1,poisson,186.97773504722738,"(38.904761904761905,)"
S,Day_1,expon,191.1931507191267,"(7.326476855289343, 31.721027181924015)"
,,,,
S,Day_1,Results for Stop 12,,
S,Day_1,beta,119.75228568255878,"(0.1280803394001327, 0.8730608761247554, 31.55540132116361, 30.89400969794425)"
S,Day_1,lognorm,125.95929547498558,"(0.4711576769207006, 28.892341944866914, 8.933410051998605)"
S,Day_1,expon,130.2520246357418,"(31.555401321163615, 7.43352806518773)"
S,Day_1,poisson,135.81056946497245,"(38.904761904761905,)"
S,Day_1,norm,139.04644179337058,"(38.988929386351344, 6.028227002489413)"
S,Day_1,gamma,225.28322210959024,"(0.29161467754833614, 31.555401321163608, 1.9977002212174302)"
S,Day_1,weibull_min,inf,"(0.22656441682722353, 37.22484776324859, 2.2545826995128038)"
,,,,
S,Day_1,Results for Stop 14,,
S,Day_1,lognorm,117.45160193746464,"(0.5262560424552465, 31.11610950646218, 6.531514443359798)"
S,Day_1,gamma,119.22605306530885,"(2.336154819375503, 32.2784172697727, 2.7488112878056583)"
S,Day_1,weibull_min,120.32330995460946,"(1.355982161065255, 32.67967296534042, 6.591006800909263)"
S,Day_1,expon,120.34952576293082,"(32.827936638897924, 5.872185044709553)"
S,Day_1,beta,121.24048571268885,"(2.2190228818916373, 260698461.14360046, 32.33281031412913, 752760382.5418396)"
S,Day_1,poisson,129.52971504668903,"(38.666666666666664,)"
